2 1515 30
2 1516 30
2 1517 29
2 1518 29
2 1519 29
2 1520 29
2 1521 29
2 1522 29
2 1523 31
2 1524 30
2 1525 31
2 1526 31
2 1527 31
2 1528 30
2 1529 30
2 1530 29
2 1531 31
2 1532 31
2 1533 30
2 1534 31
2 1535 30
2 1536 30
2 1537 29
2 1538 29
2 1539 31
2 1540 30
2 1541 31
2 1542 31
2 1543 30
2 1544 31
2 1545 31
2 1546 31
2 1547 31
2 1548 31
2 1549 31
2 1550 30
2 1551 31
2 1552 30
2 1553 30
2 1554 30
2 1555 31
2 1556 29
2 1557 30
2 1558 29
2 1559 29
2 1560 29
2 1561 29
2 1562 31
2 1563 31
2 1564 31
2 1565 31
2 1566 31
2 1567 31
2 1568 30
2 1569 30
2 1570 30
2 1571 31
2 1572 31
2 1573 30
2 1574 30
2 1575 30
2 1576 30
2 1577 29
2 1578 29
2 1579 29
2 1580 29
2 1581 29
2 1582 29
2 1583 31
2 1584 30
2 1585 30
2 1586 31
2 1587 30
2 1588 30
2 1589 29
2 1590 29
2 1591 31
2 1592 31
2 1593 31
2 1594 31
2 1595 29
2 1596 29
2 1597 29
2 1598 29
2 1599 29
2 1600 29
2 1601 29
2 1602 30
2 1603 30
2 1604 30
2 1605 30
2 1606 30
2 1607 30
2 1608 29
2 1609 29
2 1610 29
2 1611 30
2 1612 30
2 1613 30
2 1614 31
2 1615 29
2 1616 30
2 1617 29
2 1618 29
2 1619 29
2 1620 29
2 1621 29
2 1622 29
2 1623 29
2 1624 31
2 1625 31
2 1626 31
2 1627 30
2 1628 30
2 1629 30
2 1630 29
2 1631 31
2 1632 31
2 1633 30
2 1634 30
2 1635 30
2 1636 30
2 1637 29
2 1638 29
2 1639 29
2 1640 29
2 1641 29
2 1642 31
2 1643 31
2 1644 31
2 1645 31
2 1646 31
2 1647 31
2 1648 30
2 1649 30
2 1650 30
2 1651 31
2 1652 31
2 1653 30
2 1654 30
2 1655 30
2 1656 30
2 1657 29
2 1658 29
